,text,fromloc.city_name,depart_time.time,toloc.city_name,arrive_time.time,arrive_time.period_of_day,depart_date.day_name,depart_time.period_of_day,flight_time,cost_relative,round_trip,fare_amount,depart_date.today_relative,city_name,stoploc.city_name,toloc.airport_code,depart_time.time_relative,class_type,depart_date.date_relative,airline_name,arrive_time.time_relative,depart_time.start_time,depart_time.end_time,fromloc.airport_name,toloc.state_name,depart_date.day_number,depart_date.month_name,mod,fare_basis_code,transport_type,flight_mod,arrive_date.month_name,arrive_date.day_number,meal,toloc.state_code,meal_description,return_date.month_name,return_date.day_number,airline_code,depart_time.period_mod,flight_stop,fromloc.airport_code,arrive_date.day_name,time,or,economy,flight_number,arrive_time.period_mod,flight_days,toloc.airport_name,state_code,arrive_time.start_time,arrive_time.end_time,fromloc.state_name,arrive_date.date_relative,depart_date.year,return_date.date_relative,airport_code,aircraft_code,fromloc.state_code,connect,restriction_code,airport_name,toloc.country_name,days_code,day_name,period_of_day,today_relative,stoploc.state_code,meal_code,state_name,stoploc.airport_name,arrive_date.today_relative,time_relative,return_time.period_of_day,return_time.period_mod,month_name,day_number,return_date.today_relative,return_date.day_name
0,i want to fly from boston at 838 am and arrive in denver at 1110 in the morning,boston,838 am,denver,1110,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,what flights are available from pittsburgh to baltimore on thursday morning,pittsburgh,,baltimore,,,thursday,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,what is the arrival time in san francisco for the 755 am flight leaving washington,washington,755 am,,,,,,arrival time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,cheapest airfare from tacoma to orlando,tacoma,,orlando,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,round trip fares from pittsburgh to philadelphia under 1000 dollars,pittsburgh,,philadelphia,,,,,,under,round trip,1000 dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,i need a flight tomorrow from columbus to minneapolis,columbus,,minneapolis,,,,,,,,,tomorrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,what kind of aircraft is used on a flight from cleveland to dallas,cleveland,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,show me the flights from pittsburgh to los angeles on thursday,pittsburgh,,los angeles,,,thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,all flights from boston to washington,boston,,washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,what kind of ground transportation is available in denver,,,,,,,,,,,,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,show me the flights from dallas to san francisco,dallas,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,show me the flights from san diego to newark by way of houston,san diego,,newark,,,,,,,,,,,houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,what 's the airport at orlando,,,,,,,,,,,,,orlando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,what is the cheapest flight from boston to bwi,boston,,,,,,,,cheapest,,,,,,bwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,all flights to baltimore after 6 pm,,6 pm,baltimore,,,,,,,,,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,show me the first class fares from boston to denver,boston,,denver,,,,,,,,,,,,,,first class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,show me the ground transportation in denver,,,,,,,,,,,,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,denver,7 pm,pittsburgh,,,,,,,,,,,,,before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,boston,,baltimore,,,tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,please give me the flights from boston to pittsburgh on thursday of next week,boston,,pittsburgh,,,thursday,,,,,,,,,,,,next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,i would like to fly from denver to pittsburgh on united airlines,denver,,pittsburgh,,,,,,,,,,,,,,,,united airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,show me the flights from san diego to newark,san diego,,newark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,please list all first class flights on united from denver to baltimore,denver,,baltimore,,,,,,,,,,,,,,first class,,united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,what kinds of planes are used by american airlines,,,,,,,,,,,,,,,,,,,american airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,i 'd like to have some information on a ticket from denver to pittsburgh and atlanta,denver,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
